product_id,brand,product_name,award_theme,category,subcategory,concern,award_rank
P00203,닥터지,레드 블레미쉬 10-시카 캡슐 수딩 토너,베스트 신제품,토너,,스킨케어 · 스킨,
P00320,레스케미,갈락토미세스 더마로션,베스트 신제품,에멀젼,,스킨케어 · 로션,
P00188,라셀틱스,스킨 리커버리 펩타톡스 앰플,베스트 신제품,앰플/세럼,,스킨케어 · 에센스,
P00144,퓨어솜,호호바오일,베스트 신제품,스킨케어,페이스오일,,
P00179,셀린저,더마 배리어 P 크림,베스트 신제품,스킨케어,크림,,
P00205,익스큐즈마이프랭크,바쿠치올 에이지 디펜스 아이크림,베스트 신제품,스킨케어,아이케어,,
P00204,닥터지,레드 블레미쉬 쿨 수딩 젤리 미스트,베스트 신제품,스킨케어,미스트,,
P00346,에이에스씨이플러스,더블: 이엑스 시그널 패드 프로,베스트 신제품,토너 패드,,스킨케어 · 스킨,
P00351,에이에스씨이플러스,엑소밤-SR2,베스트 신제품,멀티밤,,스킨케어 · 밤,
P00198,아페리레,비 프로즌 포어 팩 투 폼 클렌저,베스트 신제품,필링,클렌징 폼,클렌징,
P00187,마이아비스,소프트 젤 클렌저,베스트 신제품,필링,클렌징 젤,클렌징,
P00184,토미울프,블랙밤부 딥 포어 클렌징 세럼,베스트 신제품,필링,클렌징 오일,클렌징,
P00213,로그비,모이스처 피니시 마일드 클렌징밀크,베스트 신제품,필링,클렌징 로션/크림,클렌징,
P00216,벨포,쌀겨수 딥 클렌징 티슈,베스트 신제품,필링,클렌징 티슈/패드,클렌징,
P00166,메디힐,티트리 트러블 진정 패드,베스트 신제품,필링,스크럽/필링 패드,클렌징,
P00145,카이네,애플 사이다 비니거 그라인딩 클렌징 밤,베스트 신제품,필링,클렌징 밤,클렌징,
P00161,에스네이처,아쿠아 스쿠알란 수분크림 랩핑 마스크,베스트 신제품,팩,시트마스크,마스크,
P00178,블루페탈,콜라겐 볼 패치,베스트 신제품,팩,부분마스크/팩,마스크,
P00311,더레이디,포어 타이트닝 핑크톡스 클레이 마스크,베스트 신제품,팩,워시오프 팩,마스크,
P00199,눈스업,스텔라블룸 히알루론산 콜라겐 랩핑 마스크,베스트 신제품,팩,필오프 팩,마스크,
P00327,퓨로피엘,마이크로핏 액티브 진정 패치,베스트 신제품,팩,패치,마스크,
P00175,이즈앤트리,김 PDRN 부스팅 글로우 패드,베스트 신제품,팩,부분마스크 패드,마스크,
P00146,YBK,핑크 글로우 페이셜 톤업 썬스크린 [SPF50+/PA++++],베스트 신제품,로션,,선케어 · 선크림,
P00215,이니스프리,데일리 유브이 노세범 선파우더 [SPF30/PA++],베스트 신제품,선케어,선케어 기타,,
P00306,힌스,래디언스 메이크업 부스팅 프렙,베스트 신제품,베이스메이크업,메이크업베이스,,
P00181,터치인솔,노 포어블럼 프라이머 프렙,베스트 신제품,베이스메이크업,프라이머,,
P00353,에스쁘아,더마 커버 블레미쉬 밤 [SPF50+/PA++++] [10호 애쉬 아이보리],베스트 신제품,CC크림,,베이스메이크업 · BB,
P00349,핀브,오브제 트루베 글로우 파운데이션 [SPF50+ PA++++] [21호 라이트베이지],베스트 신제품,베이스메이크업,파운데이션,,
P00316,에텔랑,센텔라 물 쿠션 [SPF50+/PA+++],베스트 신제품,베이스메이크업,쿠션,,
P00342,루나,롱래스팅 팁 컨실러 커버 핏 EX [SPF34/PA++] [21N],베스트 신제품,베이스메이크업,컨실러,,
P00124,쏘내추럴,올 데이 립 프렙 픽서,베스트 신제품,립밤,,립메이크업 · 립케어,
P00212,다이브,쥬베 립 세럼 [01 쥬 로즈],베스트 신제품,립밤,,립메이크업 · 컬러 립케어,
P00355,벌쓰티,글로우 핸드 앤 바디 워시 [케이크 프롬 수지],베스트 신제품,바디,바디워시,,
P00197,헤이글로우,핑크에너지 피치캄 배리어 바디 로션,베스트 신제품,바디,바디로션,,
P00319,라브리에,인리치드 크림,베스트 신제품,젤,,바디 · 바디크림,
P00206,브르카,바디 오일,베스트 신제품,에센스,,바디 · 바디오일,
P00356,벌쓰티,레이어드 핸드 앤 바디 로션 [케이크 프롬 수지],베스트 신제품,밤,,바디 · 핸드크림,
P00338,프루티드,퍼플부스터 양파샴푸,베스트 신제품,헤어,샴푸,,
P00343,제니에,글로우8 펩타이드 세럼,베스트 신제품,오일,,헤어 · 헤어에센스,
P00170,낫포유,프레쉬옹 스칼프 미스트,베스트 신제품,헤어,헤어미스트,,
P00193,누프,젤리코 테라피 노워시 트리트먼트,베스트 신제품,팩,,헤어 · 트리트먼트,
P00325,올록담,올리브3,베스트 신제품,이너뷰티,피부 건강,,
P00317,바이오코어,피부면역 유산균 캡슐,베스트 신제품,위장 건강,,이너뷰티 · 소화,
P00176,에스트라,아토베리어365 젠틀 포밍클렌저,베스트 신제품,워시,,스킨케어 · 클렌저,
P00182,궁중비책,베이비 모이스처 로션,베스트 신제품,스킨케어,로션,,
P00169,궁중비책,베이비 모이스처 크림,베스트 신제품,젤,,스킨케어 · 크림,
P00129,아토팜,징크 마일드 업 선크림 [SPF50+/PA++++],베스트 신제품,로션,,선케어 · 선크림,
P00336,플리브미,비건 키즈 헤어 미스트,베스트 신제품,헤어,헤어케어,,
P00335,그린핑거,판테딘 튼살크림,베스트 신제품,임산부케어,임산부화장품,,
P00332,리타,사프란온로즈 토너투캄,비건,토너,,스킨케어 · 스킨,
P00202,팔색미인,5D 히알루론산 세럼,비건,앰플/세럼,,스킨케어 · 에센스,
P00313,바이오지오,지오리페어 울트라 퍼밍 크림,비건,스킨케어,크림,,
P00221,메디힐,히알루론산 속보습 패드,비건,토너 패드,,스킨케어 · 스킨,
P00155,이즈앤트리,참마 비건 약산성 클렌저,비건,필링,클렌징 폼,클렌징,
P00310,에뛰드,진저슈가 립 세럼 [03 누디 베이지],비건,립밤,,립메이크업 · 컬러 립케어,
P00348,일리윤,세라마이드 아토 집중 크림,비건,젤,,바디 · 바디크림,
P00347,몽디에스,선크림 [SPF50+/PA++++],비건,로션,,선케어 · 선크림,
P00305,브링그린,티트리 시카 수딩 토너,효능/효과,스킨케어,스킨/토너,진정,1
P00167,라운드랩,소나무 진정 시카 로션,효능/효과,스킨케어,로션/에멀젼,진정,1
P00345,에이에스씨이플러스,카밍앰플 프로,효능/효과,스킨케어,에센스/앰플/세럼,진정,1
P00008,에센허브,티트리 100 오일,효능/효과,스킨케어,페이스오일,진정,1
P00273,바이오더마,시카비오 크림+,효능/효과,스킨케어,크림,진정,1
P00268,그린핑거,판테딘 엠디 더마 수딩젤,효능/효과,스킨케어,젤,진정,1
P00082,아비브,어성초 흔적 에센스 패드 클리어 터치,효능/효과,스킨케어,스킨/토너 패드,진정,1
P00119,론지,핑크 애플 퓨어 토너,효능/효과,스킨케어,스킨/토너,모공,1
P00057,이니스프리,레티놀 시카 흔적 앰플,효능/효과,스킨케어,에센스/앰플/세럼,모공,1
P00157,12EST,굿나잇 시카 엑소좀 리커버리 크림,효능/효과,스킨케어,크림,모공,1
P00190,라움비,포어 밸런스 수분 패드,효능/효과,스킨케어,스킨/토너 패드,모공,1
P00219,로티,리프루미 하이드레이팅 토너,효능/효과,스킨케어,스킨/토너,수분,1
P00011,YBK,세라마이드 릴리프 하이드레이션 에멀젼,효능/효과,스킨케어,로션/에멀젼,수분,1
P00123,웰라쥬,리얼 히알루로닉 블루 100 앰플,효능/효과,스킨케어,에센스/앰플/세럼,수분,1
P00159,웰라쥬,리얼 히알루로닉 수딩 크림,효능/효과,스킨케어,크림,수분,1
P00031,에스네이처,아쿠아 오아시스 수분 젤크림,효능/효과,스킨케어,젤,수분,1
P00087,아비브,수분초 히알루론 패드 하이드레이팅 터치,효능/효과,스킨케어,스킨/토너 패드,수분,1
